det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,32103,29750,485631,547484
a,5123,1735,231168,238026
this,3624,261,78734,82619
an,784,94,43174,44052
any,2805,1136,16933,20874
that,754,119,11611,12484
no,969,505,9884,11358
some,1419,1692,6378,9489
each,84,20,8667,8771
all,611,2793,2755,6159
another,29,58,4813,4900
every,18,236,3494,3748
these,24,3281,347,3652
what,178,140,1550,1868
those,9,1375,120,1504
which,85,73,1128,1286
both,63,295,407,765
either,7,2,479,488
whatever,32,20,249,301
neither,6,0,88,94
his/her,1,0,25,26
whichever,0,5,17,22
